icao,callsign,altitude,lat,lon,type,military,last_seen,icao_type,manufacturer,owner,registered_owner_country_iso_name,registered_owner_operator_flag_code,adsbdb_last_checked
AACD96,UAL1706 ,25000,40.74792,-81.17842,Unknown,Unknown,2025-05-27 06:20:08,B738,Boeing,United Airlines,US,UAL,2025-05-27 06:16:45
eing,Southwest Airlines,US,SWA,2025-05-26 23:42:07,,,,,,,,,
AAC2E2,UAL8214 ,39000,40.91662,-81.01880,Unknown,Unknown,2025-05-26 23:43:25,B738,Boeing,United Airlines,US,UAL,2025-05-26 23:42:07
A90279,N68SL   ,41000,41.33760,-80.91056,Unknown,Unknown,2025-05-26 23:44:54,C680,Cessna,Jet Access Aviation,US,C680,2025-05-26 23:42:07
A59398,,,,,Unknown,Unknown,2025-05-26 23:37:25,,,,,,
A18E4C,EJM187  ,40000,41.35128,-82.08429,Unknown,Unknown,2025-05-27 02:12:52,G650,Gulfstream Aerospace,Executive Jet Management,US,EJM,2025-05-26 23:42:07
ADC2A7,AAL363  ,6275,41.11247,-81.85776,Unknown,Unknown,2025-05-26 23:46:22,B738,Boeing,American Airlines,US,AAL,2025-05-26 23:42:07
AAA267,UAL2487 ,29000,41.00884,-81.09215,Unknown,Unknown,2025-05-26 23:51:41,B739,Boeing,United Airlines,US,UAL,2025-05-26 23:44:10
AA5D60,AAL903  ,31000,40.52586,-81.88791,Unknown,Unknown,2025-05-26 23:53:52,A319,Airbus,American Airlines,US,AAL,2025-05-26 23:46:11
A653F6,,1625,,,Unknown,Unknown,2025-05-26 23:44:59,CRJ7,Bombardier,American Eagle,US,JIA,2025-05-26 23:46:11
A977BB,,37000,,,Unknown,Unknown,2025-05-26 23:45:34,B752,Boeing,Delta Air Lines,US,DAL,2025-05-26 23:46:11
A2A2DF,,38975,,,Unknown,Unknown,2025-05-26 23:50:53,B788,Boeing,United Airlines,US,UAL,2025-05-26 23:46:11
A423D7,,34975,,,Unknown,Unknown,2025-05-26 23:46:42,A320,Airbus,Delta Air Lines,US,DAL,2025-05-26 23:48:14
A12C23,DAL752  ,34000,40.63205,-81.96562,Unknown,Unknown,2025-05-26 23:55:49,B763,Boeing,Delta Air Lines,US,DAL,2025-05-26 23:48:14
A0B7BA,UAL276  ,36950,40.29982,-80.99695,Unknown,Unknown,2025-05-26 23:59:37,A321,Airbus,United Airlines,US,UAL,2025-05-26 23:50:15
A388A9,DAL2334 ,38000,40.36674,-80.86139,Unknown,Unknown,2025-05-27 06:40:33,A321,Airbus,Delta Air Lines,US,DAL,2025-05-26 23:52:16
A13E6C,,39000,,,Unknown,Unknown,2025-05-26 23:53:48,GA5C,Gulfstream Aerospace,Ab Initio Software Corp,US,GA5C,2025-05-26 23:54:17
4BB147,THY2AY  ,33000,41.53940,-80.79665,Unknown,Unknown,2025-05-27 00:05:42,B77W,Boeing,Turkish Airlines,TR,THY,2025-05-26 23:56:18
AA7F24,,35000,,,Unknown,Unknown,2025-05-27 00:05:07,B39M,Boeing,Boeing,US,B190,2025-05-26 23:58:19
AD41ED,AAL1366 ,35000,41.23648,-80.75288,Unknown,Unknown,2025-05-27 00:05:56,,,,,,
ABB9B2,SWA2378 ,34000,40.40776,-82.07599,Unknown,Unknown,2025-05-27 00:06:51,B738,Boeing,Southwest Airlines,US,SWA,2025-05-27 00:00:20
A05669,UAL845  ,31000,41.01490,-80.88940,Unknown,Unknown,2025-05-27 00:06:32,B78X,Boeing,United Airlines,US,UAL,2025-05-27 00:00:20
A441C9,,37000,39.93411,-80.61212,Unknown,Unknown,2025-05-27 00:05:36,B738,Boeing,Delta Air Lines,US,DAL,2025-05-27 00:04:23
A81BE8,,4150,40.69995,-81.42944,Unknown,Unknown,2025-05-27 00:06:57,,,,,,
A98539,,30000,,,Unknown,Unknown,2025-05-27 00:11:30,B752,Boeing,Delta Air Lines,US,DAL,2025-05-27 00:04:23
A6C71C,JIA5444 ,29000,40.90462,-81.16089,Unknown,Unknown,2025-05-27 06:39:05,CRJ7,Bombardier,American Eagle,US,JIA,2025-05-27 00:08:27
AAFBDF,,39000,42.14355,-81.48972,Unknown,Unknown,2025-05-27 00:10:42,B788,Boeing,American Airlines,US,AAL,2025-05-27 00:10:29
AC259B,DAL2734 ,17675,41.22452,-81.84683,Unknown,Unknown,2025-05-27 06:20:50,B739,Boeing,Delta Air Lines,US,DAL,2025-05-27 00:12:31
A51E9F,JLG429  ,40000,41.53661,-81.92300,Unknown,Unknown,2025-05-27 05:12:16,LJ45,Bombardier,Jet Logistics Inc,US,JLG,2025-05-27 00:16:34
ABBB24,AAL2260 ,6725,41.03137,-81.88049,Unknown,Unknown,2025-05-27 00:22:03,B738,Boeing,American Airlines,US,AAL,2025-05-27 00:16:34
A987BF,FFT2920 ,5775,41.11070,-81.85382,Unknown,Unknown,2025-05-27 00:25:34,A321,Airbus,Frontier Airlines,US,FFT,2025-05-27 00:18:37
A260ED,SWA548  ,18125,40.99255,-81.30066,Unknown,Unknown,2025-05-27 00:29:26,B737,Boeing,Southwest Airlines,US,SWA,2025-05-27 00:24:42
AA7ABE,UAL1573 ,35000,40.17048,-81.16368,Unknown,Unknown,2025-05-27 00:36:09,B739,Boeing,United Airlines,US,UAL,2025-05-27 00:28:45
C07CF6,CJT990  ,31800,40.58954,-81.67181,Unknown,Unknown,2025-05-27 00:45:13,B763,Boeing,Cargojet Airways,CA,CJT,2025-05-27 00:34:50
C0208A,CJT952  ,30025,40.84259,-82.11145,Unknown,Unknown,2025-05-27 00:50:43,B763,Boeing,Cargojet Airways,CA,CJT,2025-05-27 00:42:56
A52E5B,ATN3314 ,34000,,,Unknown,Unknown,2025-05-27 05:15:21,B763,Boeing,Prime Air,US,ATN,2025-05-27 00:44:58
AAA4DC,UAL5    ,35000,40.78460,-81.04340,Unknown,Unknown,2025-05-27 00:52:23,B772,Boeing,United Airlines,US,UAL,2025-05-27 00:47:00
000000,,41000,,,Unknown,Unknown,2025-05-27 06:44:33,,,,,,
3C6519,,,,,Unknown,Unknown,2025-05-27 00:49:48,A346,Airbus,Lufthansa,DE,DLH,2025-05-27 00:51:03
A1C88F,MXY246  ,12850,40.55539,-81.41858,Unknown,Unknown,2025-05-27 02:13:24,BCS3,Airbus Canada,Breeze Airways,US,MXY,2025-05-27 00:51:03
A41E2C,,,,,Unknown,Unknown,2025-05-27 00:50:29,B739,Boeing,United Airlines,US,UAL,2025-05-27 00:51:03
A48E3A,DAL716  ,37000,41.37909,-80.64874,Unknown,Unknown,2025-05-27 01:04:16,B738,Boeing,Delta Air Lines,US,DAL,2025-05-27 00:55:09
AABF80,,,,,Unknown,Unknown,2025-05-27 01:01:00,B772,Boeing,American Airlines,US,AAL,2025-05-27 01:01:15
A19A48,,22000,,,Unknown,Unknown,2025-05-27 01:05:05,E75S,Embraer,Delta Connection,US,RPA,2025-05-27 01:05:19
AA5928,,1950,,,Unknown,Unknown,2025-05-27 01:11:55,GLF5,Gulfstream Aerospace,PTS AIR LLC,US,,2025-05-27 01:05:19
A87078,ATN4302 ,36025,40.42620,-81.39833,Unknown,Unknown,2025-05-27 05:37:06,B763,Boeing,Delta Air Lines,US,DAL,2025-05-27 01:07:22
